Codigo,Descrição,Data,Quantidade,Valor,Setor
31_000024583,"BROCA CALIB MD D4,1xD4,20x62 88424001-T5",2025-01-03 08:48:25,1.0,136.94,126
31_000019913,INSERTO TNGA 160408 AB 2010,2025-01-03 08:58:08,2.0,82.02,161
31_000028554,INSERTO CCGW 060208 NU BN2000,2025-01-03 08:58:08,1.0,105.16,161
31_000025811,INSERTO CNGA 120408 T7 WZ AB2010,2025-01-03 08:58:08,3.0,147.96,161
31_000028905,INSERTO CCMT09T308N SU AC8025P,2025-01-03 09:11:25,4.0,69.56,131
31_000023720,INSERTO GY2M0400G040N-MM VP20RT,2025-01-03 09:11:25,8.0,289.52,131
31_000013246,INSERTO TNMG 160408 MA UE6020,2025-01-03 09:11:25,3.0,46.44,131
31_000028905,INSERTO CCMT09T308N SU AC8025P,2025-01-03 10:11:36,2.0,34.78,131
31_000028713,INSERTO CCMT 060204E-FF2 TT010,2025-01-03 10:11:36,2.0,43.8,131
31_000023720,INSERTO GY2M0400G040N-MM VP20RT,2025-01-03 10:11:36,7.0,253.33,131
31_000013246,INSERTO TNMG 160408 MA UE6020,2025-01-03 10:11:36,3.0,46.44,131
31_000023789,INSERTO GY2M0400G080N-MM VP20RT,2025-01-03 10:11:36,4.0,144.8,131
31_000012247,INSERTO CCMT 060208  UE6110,2025-01-03 10:24:19,4.0,39.72,129
31_000024937,INSERTO TNMG 130412-MT TT8125,2025-01-03 10:24:19,2.0,39.2,129
31_000026158,INSERTO CCMT 060204 WP PV720,2025-01-03 10:24:19,4.0,65.16,129
31_000018867,INSERTO SOMX 070305-DT IC808,2025-01-03 10:41:09,2.0,93.26,157
31_000012717,INSERTO TCMT 110204-SM IC908,2025-01-03 10:41:09,2.0,40.8,157
31_000006112,INSERTO PENTA 24N247 JO20 IC908,2025-01-03 10:41:09,2.0,269.88,157
31_000023789,INSERTO GY2M0400G080N-MM VP20RT,2025-01-03 10:41:09,6.0,217.2,157
31_000002942,INSERTO TCMT 110202 US735,2025-01-03 10:42:16,2.0,24.4,131
